1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"PESSOA
NOME","PESSOA
IDADE","PESSOA
GÊNERO","PESSOA
ETNIA","PESSOA
PCD","PESSOA
ESTADO CIVIL","PESSOA
FORMAÇÃO","PESSOA
CIDADE","PESSOA
ESTADO","PESSOA
RENDA/MÊS","PESSOA
GASTO/MÊS","VEÍCULO
TIPO","VEÍCULO
COMBUSTÍVEL","VEÍCULO
KM/MÊS","VEÍCULO
ABASTECIMENTO IPIRANGA","POSTOS
CRITÉRIOS ESCOLHA","POSTOS
SUSTENTABILIDADE","IPIRANGA
POSTOS DIFERENCIAIS","IPIRANGA
POSTOS MELHORIAS","IPIRANGA
APP EXPERIÊNCIA","IPIRANGA
APP MOTIVOS USO","IPIRANGA
APP FREQUÊNCIA USO","IPIRANGA
APP MELHORIAS"
Pedro Miguel Duarte,44,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Rio Branco ,AC,"R$ 4.873,45","R$ 925,96",Ônibus,Diesel,3838,Quinzenal,Localização,Não considero relevante,Acessibilidade,Mais acessibilidade para PCDs,Ruim,Acessibilidade,Mensal,Design do aplicativo
Augusto Mendes,63,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Superior Incompleto,São João de Meriti,RJ,"R$ 7.846,92","R$ 1.373,21",Caminhão,Diesel,2907,Semanal,Preço,Fator de decisão,Combustível com qualidade,Mais acessibilidade para PCDs,Regular,Acessibilidade,Semanal,Design do aplicativo
Vitor Monteiro,71,Outros,Preto(a),Sim,Casado(a),Ensino Básico Completo,Nova Iguaçu,RJ,"R$ 2.567,98","R$ 642,00",Moto,Gasolina,661,Mensal,Localização,Não influencia minhas escolhas,Preços,Mais acessibilidade para PCDs,Regular,Acessibilidade,Eventual,Design do aplicativo
Noah Freitas,24,Masculino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Completo,São Luís,CE,"R$ 4.292,25","R$ 858,45",Carro,GNV,1125,Mensal,Descontos e promoções,Não influencia minhas escolhas,Preços,Mais acessibilidade para PCDs,Excelente,Acessibilidade,Semanal,Design do aplicativo
Cauê Castro,63,Outros,Preto(a),Sim,Viúvo(a),Pós-graduação,São Bernardo do Campo,SP,"R$ 4.742,36","R$ 948,47",Ônibus,Diesel,2860,Quinzenal,Localização,Não considero relevante,Localização,Mais acessibilidade para PCDs,Excelente,Acessibilidade,Mensal,Design do aplicativo
Gabriela Rodrigues,76,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,São José do Rio Preto,SP,"R$ 1.423,84","R$ 284,77",Moto,Gasolina,2461,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Descontos e promoções,Mais atendentes nos postos de abastecimento,Regular,Carteira Digital (diversas opções de pagamento),Diária,Design do aplicativo
Leonardo das Neves,33,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Campo Grande,MS,"R$ 5.888,06","R$ 1.118,73",Moto,Gasolina,44,Diária,Localização,Fator de decisão,Combustível com qualidade,Mais atendentes nas lojas de conveniência,Excelente,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
Maria Fernanda Santos,80,Feminino Cisgênero,Amarelo(a),Não,Solteiro(a),Pós-graduação,Rio de Janeiro,AL,"R$ 6.573,20","R$ 1.183,18",Caminhão,Diesel,1183,Mensal,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais atendentes nas lojas de conveniência,Excelente,Carteira Digital (diversas opções de pagamento),Mensal,Design do aplicativo
Gustavo Alves,70,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Caruaru,PE,"R$ 5.906,94","R$ 1.122,32",Caminhão,Diesel,2991,Diária,Preço,Fator de decisão,Preços,Mais atendentes nas lojas de conveniência,Regular,Carteira Digital (diversas opções de pagamento),Eventual,Design do aplicativo
