1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
nome,genero,idade,cidade,estado ,estado_civil,escolaridade,renda,tipo_de_veiculo,combustivel,km_por_mes,melhorias,necessidades,aspectos,sugestoes,sustentabilidade,frequencia_de_abastecimento,criterios_de_escolha,opcoes_de_utilizacao,motivo_de_utilizacao,experiencia_app
Kaique da Rocha,Masculino,39,Pereira,RJ,Casado(a),Ensino Superior Completo,"R$ 2.591,92",Ônibus,Diesel,4168,Mais funcionalidades,Limpeza e organização,Serviços adicionais,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Promoções e Descontos,Mensalmente,Facilidade,Ótimo
Bruno Oliveira,Masculino,56,Sales,AM,Viúvo(a),Ensino Superior Completo,"R$ 7.680,52",Ônibus,Diesel,4872,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Preço,Semanalmente,Vantagens,Ruim
Sophie Correia,Feminino,28,Rezende,PB,Viúvo(a),Ensino Superior Completo,"R$ 9.777,06",Camionete,Diesel,2265,Maior facilidade de uso,Limpeza e organização,Localização,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Formas de Pagamento,Diariamente,Facilidade,Bom
Sr. Marcelo da Luz,Masculino,42,Viana,AP,Casado(a),Ensino Superior Completo,"R$ 3.484,39",Camionete,Diesel,3148,Ofertas mais atraentes,Limpeza e organização,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Raramente,Qualidade Combustível,Raramente,Facilidade,Excelente
Maria Sophia Costa,Feminino,47,Rocha dos Dourados,PB,Divorciado(a),Ensino Superior Completo,"R$ 8.609,56",Ônibus,Diesel,212,Design do aplicativo,Atendimento ao cliente,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Semanalmente,Serviços Oferecidos,Mensalmente,Indicação,Ruim
Elisa Fogaça,Feminino,74,Vieira de Freitas,BA,Casado(a),Ensino Médio Incompleto,"R$ 2.211,03",Caminhão,Diesel,3690,Mais funcionalidades,Limpeza e organização,Localização,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Qualidade Combustível,Raramente,Economia,Excelente
Alice Gomes,Feminino,39,da Luz da Praia,PI,Solteiro(a),Ensino Superior Completo,"R$ 6.881,30",Moto,Gasolina,1787,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Formas de Pagamento,Mensalmente,Ambiental,Excelente
João Guilherme Fernandes,Feminino,39,Rocha,CE,Divorciado(a),Ensino Superior Incompleto,"R$ 5.777,45",Caminhão,Diesel,2219,Mais funcionalidades,Combustível de qualidade,Preço,Programa de fidelidade,Não considero importante,Diariamente,Promoções e Descontos,Diariamente,Facilidade,Ótimo
Srta. Rafaela Barros,Feminino,76,Freitas,MS,Divorciado(a),Pós-graduação,"R$ 5.720,89",Carro,GNV,1513,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Diariamente,Formas de Pagamento,Raramente,Economia,Ruim
