"pessoa
nome","pessoa
idade","pessoa
genero","pessoa
etinia","pessoa
pcd","pessoa
estado civil","pessoa
escolaridade","pessoa
cidade","pessoa
estado ","pessoa
renda","veiculo
tipo","veiculo
combustivel","veiculo
km_mes","veiculo
abastecimento"
Agatha Fernandes,43,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 2.893,55",Carro,GNV,226,Mensal
Agatha Fogaça,57,Feminino Cisgênero,Preto(a),Sim,Casado(a),Ensino Superior Completo,Maringá,PR,"R$ 7.481,23",Caminhão,Diesel,3453,Mensal
Agatha Pereira,30,Feminino Transgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Montes Claros,MG,"R$ 5.041,11",Moto,Gasolina,3693,Mensal
Agatha Vieira,58,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Maceió,AL,"R$ 6.275,82",Moto,Gasolina,4417,Quinzenal
Alana Araújo,21,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Básico Incompleto,Montes Claros,MG,"R$ 2.091,36",Caminhão,Diesel,3431,Diária
Alana Azevedo,35,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Incompleto,Santa Maria,MS,"R$ 2.898,68",Carro,Álcool,807,Mensal
Alana Caldeira,47,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 5.818,18",Ônibus,Diesel,2845,Mensal
Alana Cardoso,25,Feminino Transgênero,Preto(a),Não,Solteiro(a),Pós-graduação,Manaus,AM,"R$ 8.918,81",Ônibus,Diesel,1536,Quinzenal
Alana Silveira,74,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,Manaus,AM,"R$ 5.837,02",Moto,Gasolina,647,Semanal
Alexandre Barbosa,40,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Incompleto,São José do Campos,SP,"R$ 5.259,89",Moto,Gasolina,2734,Mensal
Alexandre da Paz,29,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,Piracicaba,SP,"R$ 6.462,76",Moto,Gasolina,4017,Diária
Alexandre Mendes,28,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Básico Completo,Nova Iguaçu,RJ,"R$ 3.885,54",Carro,Álcool,1332,Semanal
Alexandre Viana,35,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,Franca,SP,"R$ 7.309,60",Caminhonete,Diesel,1109,Quinzenal
Alexia Carvalho,39,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,São Paulo,SP,"R$ 7.370,58",Moto,Gasolina,3931,Quinzenal
Alexia Cavalcanti,66,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Jundiaí,SP,"R$ 8.296,77",Moto,Gasolina,4754,Mensal
Alexia Duarte,51,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 3.535,25",Carro,Gasolina,3426,Diária
Alexia Jesus,33,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,AL,"R$ 5.568,61",Carro,Gasolina,3796,Mensal
Alexia Viana,27,Feminino Transgênero,Branco(a),Não,Casado(a),Pós-graduação,Nova Iguaçu,RJ,"R$ 8.447,51",Moto,Gasolina,4722,Diária
Alice Aragão,33,Feminino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Curitiba,PR,"R$ 9.246,50",Moto,Gasolina,4989,Quinzenal
Alice Gomes,39,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Palmas,TO,"R$ 6.881,30",Moto,Gasolina,1787,Diária
Alice Monteiro,57,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 9.861,24",Moto,Gasolina,1918,Diária
Alice Oliveira,30,Feminino Cisgênero,Pardo(a),Sim,Solteiro(a),Ensino Médio Completo,Palmas,TO,"R$ 5.965,84",Caminhão,Diesel,1085,Semanal
Alice Peixoto,25,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Minas Gerais,MG,"R$ 3.794,17",Moto,Gasolina,4811,Diária
Alícia Barbosa,79,Feminino Cisgênero,Amarelo(a),Sim,Solteiro(a),Pós-graduação,Minas Gerais,MG,"R$ 4.866,93",Moto,Gasolina,2286,Mensal
Alícia Farias,72,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,São José do Rio Preto,SP,"R$ 6.614,43",Ônibus,Diesel,107,Mensal
Alícia Lima,21,Outros,Preto(a),Sim,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 4.636,85",Caminhão,Diesel,2841,Mensal
Alícia Melo,73,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Incompleto,Salvador,BA,"R$ 2.189,62",Moto,Gasolina,802,Semanal
Alícia Nogueira,18,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 1.454,19",Moto,Gasolina,1167,Semanal
Alícia Viana,26,Feminino Cisgênero,Preto(a),Sim,Viúvo(a),Pós-graduação,Porto Velho,RO,"R$ 4.398,54",Ônibus,Diesel,1796,Semanal
Amanda Carvalho,27,Feminino Transgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 4.205,75",Moto,Gasolina,1364,Mensal
Amanda Novaes,49,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,Curitiba,PR,"R$ 4.725,29",Caminhão,Diesel,1942,Mensal
Amanda Porto,57,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 3.157,73",Caminhão,Diesel,3165,Semanal
Amanda Rezende,57,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Natal,RN,"R$ 3.667,44",Carro,Gasolina,1004,Mensal
Amanda Vieira,31,Feminino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Vila Velha,ES,"R$ 5.747,94",Moto,Gasolina,80,Semanal
Ana Beatriz Alves,53,Feminino Cisgênero,Indígena,Não,Viúvo(a),Ensino Médio Completo,Montes Claros,MG,"R$ 7.464,05",Moto,Gasolina,4293,Mensal
Ana Beatriz Cunha,28,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Natal,RN,"R$ 6.228,42",Moto,Gasolina,1643,Eventual
Ana Beatriz da Conceição,73,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Completo,São Paulo,SP,"R$ 6.543,24",Carro,Gasolina,4580,Mensal
Ana Beatriz Mendes,54,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Taubaté ,SP,"R$ 3.314,41",Carro,Gasolina,164,Diária
Ana Beatriz Moura,60,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Incompleto,Curitiba,PR,"R$ 5.730,31",Ônibus,Diesel,1015,Semanal
Ana Beatriz Nascimento,46,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Completo,Duque de Caxias,RJ,"R$ 3.335,09",Ônibus,Diesel,2807,Quinzenal
Ana Beatriz Silva,72,Feminino Cisgênero,Indígena,Sim,Divorciado(a),Pós-graduação,São Luís,CE,"R$ 7.337,76",Carro,Gasolina,4068,Semanal
Ana Beatriz Silveira,42,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,Porto Velho,RO,"R$ 3.386,85",Carro,Álcool,4169,Quinzenal
Ana Cardoso,19,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 7.994,57",Carro,Álcool,3719,Diária
Ana Carolina Correia,67,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 9.820,87",Carro,Álcool,2656,Semanal
Ana Carolina da Mata,64,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,São Bernardo do Campo,SP,"R$ 4.463,91",Moto,Gasolina,3828,Semanal
Ana Carolina da Rosa,41,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Porto Velho,RO,"R$ 6.993,05",Moto,Gasolina,4795,Mensal
Ana Carolina Gonçalves,38,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Piracicaba,SP,"R$ 7.578,25",Moto,Gasolina,4143,Diária
Ana Carolina Jesus,26,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Palmas,TO,"R$ 7.233,01",Ônibus,Diesel,835,Diária
Ana Carolina Melo,31,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Curitiba,PR,"R$ 7.749,87",Caminhão,Diesel,2267,Diária
Ana Clara Cardoso,32,Feminino Cisgênero,Pardo(a),Sim,Casado(a),Pós-graduação,Campinas,SP,"R$ 6.009,15",Moto,Gasolina,4130,Diária
Ana Clara da Rosa,33,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Caruaru,PE,"R$ 6.483,46",Moto,Gasolina,4204,Semanal
Ana Clara Duarte,42,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Básico Completo,Belo Horizonte,SC,"R$ 1.592,75",Carro,Gasolina,2554,Mensal
Ana Clara Martins,47,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Campo Grande,MS,"R$ 4.448,86",Ônibus,Diesel,3286,Diária
Ana Clara Monteiro,67,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Completo,Caruaru,PE,"R$ 1.925,59",Moto,Gasolina,4408,Mensal
Ana Clara Nunes,47,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 4.971,36",Caminhão,Diesel,3090,Quinzenal
Ana Clara Silva,30,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Natal,RN,"R$ 6.252,31",Moto,Gasolina,449,Diária
Ana Freitas,49,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Vitória,ES,"R$ 9.691,10",Carro,Gasolina,271,Quinzenal
Ana Julia Almeida,31,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Básico Completo,Vila Velha,ES,"R$ 2.908,76",Caminhão,Diesel,3990,Quinzenal
Ana Júlia Alves,47,Feminino Cisgênero,Preto(a),Sim,Casado(a),Pós-graduação,Londrina,PR,"R$ 4.211,41",Carro,GNV,4684,Diária
Ana Julia da Luz,57,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Completo,Bauru,SP,"R$ 6.298,04",Caminhonete,Diesel,3303,Quinzenal
Ana Júlia Duarte,39,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Maceió,AL,"R$ 9.183,68",Carro,GNV,2481,Mensal
Ana Julia Melo,41,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,São José do Campos,SP,"R$ 9.970,01",Ônibus,Diesel,3479,Quinzenal
Ana Julia Nascimento,57,Feminino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 6.720,46",Ônibus,Diesel,2007,Mensal
Ana Julia Nunes,32,Feminino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Curitiba,PR,"R$ 5.423,84",Carro,Gasolina,3503,Mensal
Ana Júlia Ribeiro,51,Feminino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Médio Completo,Salvador,BA,"R$ 7.828,65",Moto,Gasolina,2321,Semanal
Ana Julia Rocha,31,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 7.735,89",Caminhonete,Diesel,4876,Quinzenal
Ana Júlia Silva,76,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Completo,São João de Meriti,RJ,"R$ 4.652,47",Caminhão,Diesel,539,Semanal
Ana Laura Barros,28,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,São Paulo,SP,"R$ 7.687,27",Carro,Álcool,1029,Semanal
Ana Laura da Mata,48,Feminino Cisgênero,Indígena,Sim,Casado(a),Ensino Superior Incompleto,Natal,RN,"R$ 8.651,54",Carro,Álcool,4176,Diária
Ana Laura Silveira,59,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,AL,"R$ 3.847,60",Ônibus,Diesel,1614,Diária
Ana Lívia Costa,70,Feminino Cisgênero,Indígena,Sim,Solteiro(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 3.776,80",Caminhão,Diesel,1193,Semanal
